,user_id,questionnaire_id,created_at,s01,s02,s03,s04,s05,s06,s07,s08
2297,1344,6,2020-01-22 00:00:00,YES,90,86.0,100.0,0.0,8.0,5.0,NO
115,1344,6,2020-01-23 16:24:07.236180904,YES,96,96.0,83.0,96.0,35.0,78.0,YES
5752,1344,6,2020-01-25 08:48:14.472361809,YES,56,30.0,16.0,25.0,37.0,52.0,NO
7116,1344,6,2020-01-27 01:12:21.708542713,YES,22,12.0,100.0,0.0,32.0,18.0,NO
1867,1344,6,2020-01-28 17:36:28.944723618,YES,20,23.0,51.0,18.0,0.0,13.0,NO
3744,1344,6,2020-01-30 10:00:36.180904522,YES,30,29.0,69.0,26.0,30.0,28.0,NO
3323,1344,6,2020-02-01 02:24:43.417085427,YES,48,30.0,83.0,2.0,19.0,1.0,YES
7136,1344,6,2020-02-02 18:48:50.653266331,YES,29,18.0,100.0,0.0,17.0,15.0,NO
485,1344,6,2020-02-04 11:12:57.889447236,YES,38,19.0,66.0,34.0,20.0,29.0,NO
1611,1344,6,2020-02-06 03:37:05.125628140,YES,74,67.0,57.0,58.0,47.0,45.0,NO
928,1344,6,2020-02-07 20:01:12.361809045,YES,55,58.0,42.0,59.0,62.0,88.0,NO
2928,1344,6,2020-02-09 12:25:19.597989949,YES,71,68.0,87.0,69.0,35.0,55.0,NO
3605,1344,6,2020-02-11 04:49:26.834170854,YES,10,13.0,94.0,8.0,9.0,9.0,NO
6515,1344,6,2020-02-12 21:13:34.070351759,YES,38,39.0,54.0,58.0,22.0,23.0,NO
1350,1344,6,2020-02-14 13:37:41.306532663,NO,0,3.0,86.0,0.0,2.0,62.0,NO
6033,1344,6,2020-02-16 06:01:48.542713568,NO,39,34.0,96.0,11.0,66.0,43.0,NO
5315,1344,6,2020-02-17 22:25:55.778894472,YES,22,24.0,100.0,0.0,9.0,16.0,NO
3875,1344,6,2020-02-19 14:50:03.015075377,YES,83,17.0,93.0,2.0,31.0,15.0,YES
2915,1344,6,2020-02-21 07:14:10.251256281,YES,79,4.0,85.0,10.0,1.0,18.0,YES
2416,1344,6,2020-02-22 23:38:17.487437186,YES,28,34.0,77.0,29.0,43.0,52.0,NO
6977,1344,6,2020-02-24 16:02:24.723618090,YES,82,58.0,92.0,11.0,49.0,54.0,NO
6993,1344,6,2020-02-26 08:26:31.959798995,YES,76,63.0,32.0,6.0,28.0,46.0,NO
3838,1344,6,2020-02-28 00:50:39.195979899,YES,80,47.0,82.0,30.0,22.0,20.0,NO
1209,1344,6,2020-02-29 17:14:46.432160804,YES,51,36.0,52.0,42.0,33.0,33.0,YES
659,1344,6,2020-03-02 09:38:53.668341709,YES,36,40.0,62.0,48.0,32.0,37.0,YES
6493,1344,6,2020-03-04 02:03:00.904522613,NO,52,19.0,92.0,0.0,4.0,3.0,NO
6075,1344,6,2020-03-05 18:27:08.140703518,YES,24,5.0,100.0,0.0,46.0,42.0,NO
2079,1344,6,2020-03-07 10:51:15.376884422,YES,85,72.0,100.0,0.0,3.0,6.0,NO
748,1344,6,2020-03-09 03:15:22.613065327,YES,45,42.0,40.0,36.0,27.0,31.0,YES
58,1344,6,2020-03-10 19:39:29.849246231,YES,0,57.0,31.0,30.0,28.0,34.0,NO
1352,1344,6,2020-03-12 12:03:37.085427136,YES,67,84.0,100.0,57.0,34.0,29.0,NO
1875,1344,6,2020-03-14 04:27:44.321608040,YES,50,48.0,48.0,34.0,0.0,0.0,NO
1951,1344,6,2020-03-15 20:51:51.557788945,YES,5,4.0,96.0,4.0,5.0,5.0,NO
4528,1344,6,2020-03-17 13:15:58.793969850,YES,59,39.0,100.0,0.0,4.0,7.0,
2569,1344,6,2020-03-19 05:40:06.030150754,YES,90,92.0,100.0,0.0,3.0,5.0,NO
3387,1344,6,2020-03-20 22:04:13.266331659,YES,44,40.0,81.0,3.0,13.0,0.0,YES
6235,1344,6,2020-03-22 14:28:20.502512563,YES,17,6.0,86.0,7.0,4.0,4.0,NO
4217,1344,6,2020-03-24 06:52:27.738693468,YES,88,93.0,100.0,0.0,1.0,3.0,NO
3842,1344,6,2020-03-25 23:16:34.974874372,YES,32,25.0,80.0,2.0,11.0,2.0,YES
5932,1344,6,2020-03-27 15:40:42.211055277,YES,98,99.0,85.0,11.0,100.0,87.0,YES
1889,1344,6,2020-03-29 08:04:49.447236181,YES,61,67.0,68.0,17.0,56.0,40.0,NO
1909,1344,6,2020-03-31 00:28:56.683417086,YES,29,28.0,67.0,6.0,12.0,47.0,YES
1802,1344,6,2020-04-01 16:53:03.919597990,YES,50,51.0,51.0,0.0,0.0,0.0,NO
3847,1344,6,2020-04-03 09:17:11.155778895,YES,42,26.0,78.0,27.0,36.0,39.0,NO
3922,1344,6,2020-04-05 01:41:18.391959799,YES,39,41.0,78.0,23.0,9.0,0.0,NO
2366,1344,6,2020-04-06 18:05:25.628140704,YES,61,52.0,85.0,31.0,30.0,60.0,NO
7335,1344,6,2020-04-08 10:29:32.864321608,YES,41,33.0,97.0,3.0,26.0,19.0,NO
4745,1344,6,2020-04-10 02:53:40.100502513,YES,38,32.0,29.0,24.0,14.0,21.0,NO
6334,1344,6,2020-04-11 19:17:47.336683418,YES,83,87.0,100.0,0.0,54.0,56.0,NO
3628,1344,6,2020-04-13 11:41:54.572864322,YES,33,29.0,71.0,26.0,49.0,37.0,NO
