"id";"questiontype";"label";"values";"condition";"required";"restricted_to";"deleted_at";"created_at";"updated_at";"id";"element_question_id";"locale";"question";"answers";"deleted_at";"created_at";"updated_at"
"1";"YesNoSwitch";"s01";"[""YES"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"1";"1";"de";"Haben Sie gerade den Tinnitus bewusst wahrgenommen?";"[""Ja"",""Nein""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"1";"YesNoSwitch";"s01";"[""YES"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"2";"1";"en";"Did you perceive the tinnitus right now?";"[""Yes"",""No""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"2";"Slider";"s02";"{""min"":0,""max"":100,""step"":1}";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"3";"2";"de";"Wie laut ist der Tinnitus momentan?";"[{""value"":0,""label"":""nicht h\u00f6rbar"",""icon"":""\uf026""},{""value"":100,""label"":""maximale Lautst\u00e4rke"",""icon"":""\uf028""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"2";"Slider";"s02";"{""min"":0,""max"":100,""step"":1}";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"4";"2";"en";"How loud is the tinnitus right now?";"[{""value"":0,""label"":""not audible"",""icon"":""\uf026""},{""value"":100,""label"":""maximal loudness"",""icon"":""\uf028""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"3";"Slider";"s03";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"5";"3";"de";"Wie belastend empfinden Sie den Tinnitus im Moment?";"[{""value"":0,""label"":""nicht belastend"",""icon"":""\uf118""},{""value"":100,""label"":""maximal belastend"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"3";"Slider";"s03";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"6";"3";"en";"How stressful is the tinnitus right now?";"[{""value"":0,""label"":""not stressful"",""icon"":""\uf118""},{""value"":100,""label"":""maximal stressful"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"4";"Slider";"s04";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"7";"4";"de";"Wie gut hören Sie gerade?";"[{""value"":0,""label"":""h\u00f6re gar nichts"",""icon"":""\uf026""},{""value"":100,""label"":""h\u00f6re sehr gut"",""icon"":""\uf028""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"4";"Slider";"s04";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"8";"4";"en";"How well are you hearing right now?";"[{""value"":0,""label"":""don't hear anything"",""icon"":""\uf026""},{""value"":100,""label"":""hear very well"",""icon"":""\uf028""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"5";"Slider";"s05";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"9";"5";"de";"Wie stark sind Sie gerade durch ihr Hörvermögen eingeschränkt?";"[{""value"":0,""label"":""keine Einschr\u00e4nkung"",""icon"":""\uf118""},{""value"":100,""label"":""maximale Einschr\u00e4nkung"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"5";"Slider";"s05";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"10";"5";"en";"How much are you limited by your hearing ability right now?";"[{""value"":0,""label"":""no limitation"",""icon"":""\uf118""},{""value"":100,""label"":""maximal limitation"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
