,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,user_id
0,0.0,10.5,23.0,24.0,24.0,19.5,23.0,24.0,13.5,24.0,18.0,24.0,24.0,16.5,24.0,16.0,17.0,24.0,22.5,20.0,24.0,24.0,24.0,24.0,18.5,15.5,16.0,13.5,13.5,17.5,13.0,13.5,14.0,16.5,15.0,17.0,22.0,16.5,16.5,16.5,16.5,14.0,14.5,14.0,15.0,19.0,17.5,14.5,13.5,17.0,8
1,10.5,0.0,11.0,14.4,11.714285714285714,13.25,10.6,10.142857142857142,11.0,10.0,8.0,10.2,10.2,12.5,10.2,11.333333333333334,12.75,10.2,6.0,10.4,9.571428571428571,11.2,11.333333333333334,9.2,10.75,5.833333333333333,10.333333333333334,12.666666666666666,11.333333333333334,14.8,15.75,11.333333333333334,11.833333333333334,17.5,11.5,12.166666666666666,12.666666666666666,11.8,11.2,15.0,11.0,14.0,14.333333333333334,11.8,14.0,12.0,14.5,16.25,14.333333333333334,16.333333333333332,10
2,23.0,11.0,0.0,5.0,9.4,4.5,1.2,2.0,6.75,1.4,3.4,2.0,1.6,5.25,4.8,7.333333333333333,5.0,2.0,6.8,4.6,2.8,3.8,2.0,7.4,3.5,8.4,5.2,8.8,5.8,7.8,7.0,6.4,7.4,9.25,6.8,7.8,4.0,5.2,6.2,6.25,8.5,10.0,10.333333333333334,5.6,8.2,6.75,5.75,8.5,10.333333333333334,12.333333333333334,11
3,24.0,14.4,5.0,0.0,5.6,2.5,5.4,3.0,6.25,3.6,6.8,6.2,5.8,4.75,4.2,5.333333333333333,4.5,6.2,10.2,9.6,2.2,3.2,3.0,6.8,5.0,9.8,6.2,5.4,7.2,8.8,6.5,7.0,6.4,7.75,7.8,8.4,1.3333333333333333,5.8,5.2,4.75,7.5,6.666666666666667,8.333333333333334,9.4,6.4,3.25,4.25,6.5,7.0,9.666666666666666,14
4,24.0,11.714285714285714,9.4,5.6,0.0,5.5,9.8,7.857142857142857,9.25,7.714285714285714,11.2,10.6,10.2,7.75,6.2,6.333333333333333,7.5,10.6,9.333333333333334,14.0,6.428571428571429,6.8,7.666666666666667,8.8,6.5,8.833333333333334,10.0,8.666666666666666,11.333333333333334,14.4,9.5,11.0,11.166666666666666,10.25,11.166666666666666,11.833333333333334,2.3333333333333335,11.4,10.4,7.75,7.5,7.666666666666667,8.0,13.8,11.2,4.75,7.25,9.0,8.0,10.0,17
5,19.5,13.25,4.5,2.5,5.5,0.0,6.0,3.0,3.75,3.75,7.0,7.0,6.5,2.25,5.0,7.0,2.0,7.0,11.5,7.75,2.75,3.75,3.0,8.25,6.5,12.0,7.0,8.0,7.75,10.25,7.5,8.0,8.0,9.75,9.0,9.75,3.6666666666666665,6.5,6.5,6.75,12.0,9.666666666666666,11.333333333333334,11.0,8.75,5.75,6.25,8.5,10.0,12.666666666666666,18
6,23.0,10.6,1.2,5.4,9.8,6.0,0.0,2.4,7.25,1.8,3.0,1.6,1.2,6.75,5.2,8.0,5.5,1.6,6.8,4.6,3.2,4.2,2.4,7.8,3.5,8.4,4.8,8.8,5.8,7.4,7.5,6.0,7.0,8.75,6.4,7.4,4.0,4.8,5.8,5.75,6.5,9.333333333333334,9.666666666666666,4.8,7.8,6.25,5.25,8.0,9.666666666666666,11.666666666666666,20
7,24.0,10.142857142857142,2.0,3.0,7.857142857142857,3.0,2.4,0.0,5.25,1.0,5.4,3.2,2.8,3.75,2.8,5.333333333333333,3.5,3.2,7.5,6.6,2.0,1.8,0.5,5.4,5.5,7.666666666666667,2.8333333333333335,6.5,4.166666666666667,5.8,5.5,4.166666666666667,5.666666666666667,7.25,4.0,5.0,1.3333333333333333,3.2,4.2,3.75,7.5,6.666666666666667,8.333333333333334,7.2,7.0,4.25,3.25,6.5,7.0,9.666666666666666,22
8,13.5,11.0,6.75,6.25,9.25,3.75,7.25,5.25,0.0,6.0,7.75,9.25,8.75,1.5,8.75,7.0,1.75,9.25,14.75,9.5,6.0,7.5,5.25,12.0,7.25,12.75,6.25,8.25,7.0,9.5,6.75,7.75,8.75,9.5,8.25,9.5,5.666666666666667,6.25,7.25,6.0,12.0,9.666666666666666,11.333333333333334,10.25,9.5,6.5,5.5,8.75,10.0,12.666666666666666,23
9,24.0,10.0,1.4,3.6,7.714285714285714,3.75,1.8,1.0,6.0,0.0,4.8,2.6,2.2,4.5,3.4,6.333333333333333,4.25,2.6,7.0,6.0,2.7777777777777777,2.4,1.0,6.0,4.75,7.166666666666667,3.3333333333333335,6.666666666666667,4.666666666666667,6.4,6.25,4.666666666666667,6.166666666666667,7.5,4.5,5.5,2.3333333333333335,3.8,4.8,4.5,7.5,7.666666666666667,8.0,6.6,6.8,5.0,4.0,6.75,8.0,10.0,24
10,18.0,8.0,3.4,6.8,11.2,7.0,3.0,5.4,7.75,4.8,0.0,4.2,3.8,9.25,7.0,5.0,8.0,4.2,7.4,6.4,5.0,6.0,5.4,9.6,1.0,6.2,4.6,7.0,5.2,7.2,6.0,5.4,5.2,7.75,6.2,6.8,6.333333333333333,4.2,4.0,5.25,3.5,7.666666666666667,8.0,3.8,6.0,4.25,4.75,6.5,8.0,10.0,27
11,24.0,10.2,2.0,6.2,10.6,7.0,1.6,3.2,9.25,2.6,4.2,0.0,0.4,7.75,6.0,10.666666666666666,7.5,0.0,7.6,3.4,4.0,5.0,3.2,8.6,5.5,10.0,6.4,10.4,7.4,9.0,9.5,7.6,8.6,10.75,8.0,9.0,6.666666666666667,6.4,7.4,7.75,7.5,12.0,12.333333333333334,6.4,9.4,8.25,7.25,10.0,12.333333333333334,14.333333333333334,28
12,24.0,10.2,1.6,5.8,10.2,6.5,1.2,2.8,8.75,2.2,3.8,0.4,0.0,7.25,5.6,10.0,7.0,0.4,7.2,3.8,3.6,4.6,2.8,8.2,5.0,9.6,6.0,10.0,7.0,8.6,9.0,7.2,8.2,10.25,7.6,8.6,6.0,6.0,7.0,7.25,7.5,11.333333333333334,11.666666666666666,6.0,9.0,7.75,6.75,9.5,11.666666666666666,13.666666666666666,29
13,16.5,12.5,5.25,4.75,7.75,2.25,6.75,3.75,1.5,4.5,9.25,7.75,7.25,0.0,7.25,9.0,1.25,7.75,13.75,8.5,4.5,6.0,3.75,10.5,8.75,14.25,7.75,9.75,8.5,11.0,8.25,9.25,10.25,11.0,9.75,11.0,5.666666666666667,7.75,8.75,7.5,15.0,11.666666666666666,13.333333333333334,11.75,11.0,8.0,7.0,10.25,12.0,14.666666666666666,30
14,24.0,10.2,4.8,4.2,6.2,5.0,5.2,2.8,8.75,3.4,7.0,6.0,5.6,7.25,0.0,5.333333333333333,7.0,6.0,6.0,9.4,3.2,1.0,2.8,2.6,7.5,6.4,6.0,9.6,7.0,8.6,9.0,6.8,6.6,10.25,7.6,8.2,1.3333333333333333,5.6,5.0,7.25,7.5,6.666666666666667,8.333333333333334,10.0,8.6,4.25,6.75,9.0,7.0,9.666666666666666,31
15,16.0,11.333333333333334,7.333333333333333,5.333333333333333,6.333333333333333,7.0,8.0,5.333333333333333,7.0,6.333333333333333,5.0,10.666666666666666,10.0,9.0,5.333333333333333,0.0,7.333333333333333,10.666666666666666,8.0,14.333333333333334,5.666666666666667,5.333333333333333,5.333333333333333,5.333333333333333,4.333333333333333,3.0,1.3333333333333333,3.3333333333333335,2.3333333333333335,5.666666666666667,2.0,3.0,3.3333333333333335,5.333333333333333,4.0,5.333333333333333,4.0,1.0,1.0,1.0,1.5,2.6666666666666665,4.333333333333333,6.666666666666667,4.666666666666667,2.0,1.0,4.0,3.0,5.666666666666667,33
