user_id,rmse,algorithm,ref_p1,ref_p2,ref_p3,pred_p1,pred_p2,pred_p3
1344,0.29559882724169706,weighted_average,0.04,0.37,0.04,0.49000000000000005,0.36,0.284
1344,0.7728109371178837,lr,0.04,0.37,0.04,0.9036570660886153,0.9082582122754529,0.9095313695895645
1350,0.24737016796695593,weighted_average,0.69,0.65,0.3,0.358,0.484,0.514
1350,0.15831410610613753,lr,0.69,0.65,0.3,0.5434242424242424,0.5051538461538461,0.4809010989010989
1354,0.1495147707307431,weighted_average,0.42,0.24,0.4,0.518,0.422,0.244
1354,0.1381055128956797,lr,0.42,0.24,0.4,0.4637543691071482,0.4665421583825658,0.4631157962473752
1359,0.35955157256412235,weighted_average,0.03,0.1,0.6,0.49800000000000005,0.49800000000000005,0.49800000000000005
1359,0.5860437621767353,lr,0.03,0.1,0.6,0.7700223171053246,0.7724194937118245,0.7748166703183244
1353,0.24301988944665964,weighted_average,0.36,0.0,0.28,0.394,0.372,0.47400000000000003
1353,0.2585523933446371,lr,0.36,0.0,0.28,0.42867324614693025,0.42175140621842816,0.41400655554539617
