user_id,rmse,algorithm,ref_p1,ref_p2,ref_p3,pred_p1,pred_p2,pred_p3
1344,0.32662108525527456,weighted_average,0.04,0.37,0.04,0.502,0.44399999999999995,0.358
1344,0.370620037929693,lr,0.04,0.37,0.04,0.48506855641851454,0.48705191548819726,0.4875382293314222
1350,0.056509586207415564,weighted_average,0.69,0.65,0.3,0.62,0.608,0.354
1350,0.23140304328596625,lr,0.69,0.65,0.3,0.4053939393939394,0.4725384615384616,0.5194285714285714
1353,0.36674423421961705,weighted_average,0.36,0.0,0.28,0.588,0.516,0.5720000000000001
1353,0.8334305776436846,lr,0.36,0.0,0.28,1.025982515729884,1.0331874687604201,1.0368424713194866
1354,0.31859273898400975,weighted_average,0.42,0.24,0.4,0.48600000000000004,0.668,0.7420000000000001
1354,0.09264429533507948,lr,0.42,0.24,0.4,0.40011756091608014,0.39895990389538777,0.4092376373626374
1359,0.35225180387520144,weighted_average,0.03,0.1,0.6,0.442,0.532,0.47400000000000003
1359,0.40988001967279,lr,0.03,0.1,0.6,0.5651922857148027,0.5653352283159787,0.5677938797682652
