user_id,rmse,algorithm,ref_p1,ref_p2,ref_p3,pred_p1,pred_p2,pred_p3
1344,0.2662004257447134,weighted_average,0.04,0.37,0.04,0.374,0.284,0.346
1344,0.7671615596162461,lr,0.04,0.37,0.04,0.8976375647891697,0.9020993574740879,0.9042561292213434
1350,0.2658571044753177,weighted_average,0.69,0.65,0.3,0.304,0.5700000000000001,0.538
1350,0.20092447468390995,lr,0.69,0.65,0.3,0.46448484848484844,0.42453846153846153,0.43936263736263736
1354,0.11231503312854726,weighted_average,0.42,0.24,0.4,0.392,0.33399999999999996,0.23199999999999998
1354,0.29904434296221255,lr,0.42,0.24,0.4,0.6418222162818673,0.6422921580211903,0.6392456501831503
1359,0.3789335913674936,weighted_average,0.03,0.1,0.6,0.568,0.45199999999999996,0.46799999999999997
1359,0.7313062398113354,lr,0.03,0.1,0.6,0.9258639039865345,0.9311041817265004,0.9333468971082712
1353,0.24598373929997894,weighted_average,0.36,0.0,0.28,0.42800000000000005,0.37,0.48
1353,0.38545700307614295,lr,0.36,0.0,0.28,0.5655860666597508,0.5671950005987314,0.5659291942990476
